,Ціна,"Локація (Місто, Район)",Поверх,Поверховість,Загальна площа,Площа кухні,Кількість кімнат,Меблювання,Ремонт,Домашні улюбленці,Автономність при блекауті
479,3 500 грн.,"Одеса, Пересипський<!-- --> - <!-- -->07 липня 2024 р.",7,9,30 м²,6 м²,2 кімнати,З меблями,Житловий стан,,"Працює опалення, Працює інтернет"
480,11 000 грн.,"Запоріжжя, Дніпровський<!-- --> - <!-- -->07 липня 2024 р.",8,9,65 м²,30 м²,2 кімнати,З меблями,Авторський проект,,
481,9 000 грн.,"Харків, Київський<!-- --> - <!-- -->07 липня 2024 р.",2,5,56 м²,7 м²,2 кімнати,З меблями,,,
482,7 000 грн.,"Київ, Дніпровський<!-- --> - <!-- -->06 липня 2024 р.",1,5,30 м²,7 м²,1 кімната,З меблями,Житловий стан,,"Працює інтернет, Працює водопопостачання, Працює опалення"
483,12 174 грн.,Тернопіль<!-- --> - <!-- -->07 липня 2024 р.,3,9,67 м²,10 м²,2 кімнати,З меблями,Євроремонт,,
484,6 000 грн.,"Одеса, Київський<!-- --> - <!-- -->07 липня 2024 р.",8,9,50 м²,7 м²,2 кімнати,З меблями,Косметичний ремонт,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸","Працює водопопостачання, Працює опалення"
485,5 800 грн.,Тернопіль<!-- --> - <!-- -->07 липня 2024 р.,1,2,45 м²,10 м²,1 кімната,З меблями,,,
486,7 500 грн.,"Дніпро, Шевченківський<!-- --> - <!-- -->07 липня 2024 р.",1,5,28 м²,6 м²,1 кімната,З меблями,Косметичний ремонт,,
487,11 500 грн.,"Одеса, Приморський<!-- --> - <!-- -->07 липня 2024 р.",,,,,,,,,
488,10 000 грн.,"Київ, Дніпровський<!-- --> - <!-- -->07 липня 2024 р.",8,9,60 м²,7 м²,3 кімнати,З меблями,Житловий стан,,
489,4 000 грн.,Горбані<!-- --> - <!-- -->07 липня 2024 р.,4,5,38 м²,6 м²,1 кімната,З меблями,Житловий стан,Ні 🥺,
490,12 500 грн.,"Миколаїв, Центральний<!-- --> - <!-- -->07 липня 2024 р.",3,9,38 м²,8 м²,1 кімната,З меблями,,,
491,8 000 грн.,"Одеса, Приморський<!-- --> - <!-- -->07 липня 2024 р.",11,16,50 м²,16 м²,1 кімната,,Євроремонт,Ні 🥺,
492,9 500 грн.,Софіївська Борщагівка<!-- --> - <!-- -->07 липня 2024 р.,7,9,30 м²,6 м²,1 кімната,З меблями,Євроремонт,,
493,11 000 грн.,"Одеса, Хаджибейський<!-- --> - <!-- -->07 липня 2024 р.",4,17,34 м²,10 м²,1 кімната,З меблями,Євроремонт,"Так, середній песик(до 25 кг) 🐩",
494,80 000 грн.,"Київ, Шевченківський<!-- --> - <!-- -->05 липня 2024 р.",2,8,167 м²,8 м²,4 кімнати,Без меблів,,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸","Працює водопопостачання, Працює опалення, Працює інтернет, Підключене резервне живлення"
495,4 000 грн.,"Харків, Київський<!-- --> - <!-- -->07 липня 2024 р.",3,4,21 м²,3 м²,1 кімната,З меблями,Євроремонт,"Так, котик 😸","Підключене резервне живлення, Працює опалення, Працює водопопостачання"
496,10 000 грн.,"Львів, Сихівський<!-- --> - <!-- -->07 липня 2024 р.",5,9,36 м²,6 м²,1 кімната,З меблями,Косметичний ремонт,Ні 🥺,
497,18 260 грн.,Ужгород<!-- --> - <!-- -->07 липня 2024 р.,4,5,70 м²,12 м²,2 кімнати,З меблями,Євроремонт,,
498,"10 000 грн.<span class=""css-1vxklie"">Договірна</span>","Харків, Шевченківський <!-- --> - <!-- -->07 липня 2024 р.",7,16,55 м²,12 м²,2 кімнати,,Євроремонт,,
499,3 700 грн.,"Запоріжжя, Заводський<!-- --> - <!-- -->07 липня 2024 р.",6,9,52 м²,8 м²,2 кімнати,,,,
500,7 500 грн.,"Миколаїв, Заводський<!-- --> - <!-- -->07 липня 2024 р.",6,9,48 м²,8 м²,2 кімнати,З меблями,Житловий стан,Ні 🥺,"Працює інтернет, Працює ліфт, Працює водопопостачання"
501,2 500 грн.,"Харків, Холодногірський<!-- --> - <!-- -->07 липня 2024 р.",2,6,18 м²,2 м²,1 кімната,,Косметичний ремонт,"Так, котик 😸",
502,16 000 грн.,"Дніпро, Соборний<!-- --> - <!-- -->07 липня 2024 р.",2,6,63 м²,8 м²,2 кімнати,З меблями,,"Так, маленький песик(до 10 кг) 🐕, Так, котик 😸","Працює інтернет, Працює ліфт, Працює водопопостачання"
503,14 900 грн.,"Київ, Голосіївський<!-- --> - <!-- -->07 липня 2024 р.",2,8,32 м²,12 м²,1 кімната,,,,
504,5 000 грн.,"Дніпро, Центральний<!-- --> - <!-- -->07 липня 2024 р.",1,1,32 м²,5 м²,1 кімната,З меблями,Житловий стан,"Так, маленький песик(до 10 кг) 🐕, Так, інша тваринка 🦕, Так, котик 😸",
505,6 999 грн.,"Запоріжжя, Вознесенівський<!-- --> - <!-- -->07 липня 2024 р.",2,4,50 м²,15 м²,2 кімнати,З меблями,Житловий стан,Ні 🥺,
506,6 000 грн.,"Харків, Немишлянський<!-- --> - <!-- -->06 липня 2024 р.",1,3,40 м²,9 м²,2 кімнати,З меблями,Євроремонт,,"Працює опалення, Працює водопопостачання, Працює інтернет, Підключене резервне живлення"
507,19 000 грн.,"Дніпро, Соборний<!-- --> - <!-- -->07 липня 2024 р.",,,,,,,,,
508,39 000 грн.,"Київ, Голосіївський<!-- --> - <!-- -->06 липня 2024 р.",15,25,90 м²,13 м²,4 кімнати,З меблями,Євроремонт,,
509,11 000 грн.,"Харків, Шевченківський <!-- --> - <!-- -->07 липня 2024 р.",11,16,67 м²,32 м²,2 кімнати,З меблями,Євроремонт,,
510,10 000 грн.,Обухів<!-- --> - <!-- -->07 липня 2024 р.,1,7,42 м²,9 м²,1 кімната,,,,
511,5 500 грн.,"Миколаїв, Iнгульський<!-- --> - <!-- -->07 липня 2024 р.",6,12,50 м²,8 м²,2 кімнати,З меблями,,Ні 🥺,
512,12 000 грн.,Ірпінь<!-- --> - <!-- -->07 липня 2024 р.,3,5,39 м²,11 м²,1 кімната,З меблями,Авторський проект,,
513,16 231 грн.,Івано-Франківськ<!-- --> - <!-- -->07 липня 2024 р.,4,9,75 м²,20 м²,2 кімнати,З меблями,Євроремонт,,
514,6 000 грн.,"Миколаїв, Центральний<!-- --> - <!-- -->07 липня 2024 р.",6,9,32 м²,7 м²,1 кімната,З меблями,,Ні 🥺,
515,"13 797 грн.<span class=""css-1vxklie"">Договірна</span>","Львів, Галицький<!-- --> - <!-- -->07 липня 2024 р.",2,3,40 м²,10 м²,1 кімната,З меблями,Євроремонт,,
516,8 000 грн.,Хмельницький<!-- --> - <!-- -->07 липня 2024 р.,5,5,45 м²,8 м²,2 кімнати,З меблями,Косметичний ремонт,,
517,56 810 грн.,"Київ, Печерський<!-- --> - <!-- -->07 липня 2024 р.",9,17,82 м²,16 м²,4 кімнати,З меблями,Євроремонт,Ні 🥺,
518,101 447 грн.,"Київ, Шевченківський<!-- --> - <!-- -->07 липня 2024 р.",11,15,137 м²,15 м²,3 кімнати,,,,
519,"9 500 грн.<span class=""css-1vxklie"">Договірна</span>",Хмельницький - 06 липня 2024 р.,6,14,60 м²,8 м²,2 кімнати,З меблями,Житловий стан,Ні 🥺,
520,7 000 грн.,"Одеса, Хаджибейський - 07 липня 2024 р.",6,10,70 м²,9 м²,3 кімнати,З меблями,Косметичний ремонт,,
521,7 300 грн.,Вишневе - 07 липня 2024 р.,7,9,37 м²,6 м²,1 кімната,Без меблів,Житловий стан,"Так, інша тваринка 🦕, Так, маленький песик(до 10 кг) 🐕, Так, котик 😸",
522,7 500 грн.,"Дніпро, Шевченківський - 07 липня 2024 р.",1,5,28 м²,6 м²,1 кімната,З меблями,Косметичний ремонт,,
523,"7 500 грн.<span class=""css-1vxklie"">Договірна</span>","Дніпро, Центральний - 07 липня 2024 р.",10,14,32 м²,6 м²,1 кімната,З меблями,Житловий стан,"Так, маленький песик(до 10 кг) 🐕","Працює інтернет, Працює опалення, Працює ліфт, Працює водопопостачання"
524,14 203 грн.,"Львів, Галицький - 07 липня 2024 р.",3,3,47 м²,13 м²,2 кімнати,З меблями,Євроремонт,,
525,12 500 грн.,Чабани - 07 липня 2024 р.,2,10,40 м²,13.25 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,"Працює інтернет, Працює ліфт, Працює водопопостачання, Працює опалення"
526,5 000 грн.,"Запоріжжя, Олександрiвський - 07 липня 2024 р.",9,9,52 м²,8 м²,2 кімнати,,,,
527,6 500 грн.,"Харків, Шевченківський  - 07 липня 2024 р.",5,5,45 м²,8 м²,2 кімнати,,,,
528,12 000 грн.,"Одеса, Пересипський - 07 липня 2024 р.",,,,,,,,,
529,12 000 грн.,"Житомир, Промавтоматика - 07 липня 2024 р.",4,9,50 м²,9 м²,2 кімнати,З меблями,Євроремонт,Ні 🥺,
530,15 500 грн.,"Київ, Печерський - 07 липня 2024 р.",6,9,32 м²,8 м²,1 кімната,З меблями,Косметичний ремонт,,
531,4 999 грн.,"Запоріжжя, Шевченківський - 07 липня 2024 р.",6,10,55 м²,10 м²,2 кімнати,З меблями,Житловий стан,,
532,6 000 грн.,Тернопіль - 07 липня 2024 р.,8,9,52 м²,8 м²,2 кімнати,З меблями,Косметичний ремонт,,
533,44 637 грн.,"Київ, Шевченківський - 06 липня 2024 р.",2,16,50 м²,22 м²,1 кімната,З меблями,Євроремонт,Ні 🥺,"Працює інтернет, Працює водопопостачання, Працює опалення"
534,10 000 грн.,"Київ, Святошинський - 07 липня 2024 р.",4,9,44 м²,6.50 м²,2 кімнати,З меблями,Косметичний ремонт,Ні 🥺,
